HOUR,PRICE
0,245.0
1,245.0
2,244.92
3,244.25
4,244.99
5,244.0
6,244.0
7,244.0
8,243.95
9,243.95
10,243.95
11,243.6
12,243.6
13,243.6
14,243.6
15,243.6
16,243.6
17,243.6
18,243.6
19,243.6
20,243.6
21,243.6
22,243.63
23,243.63
24,244.0
25,244.0
26,244.0
27,244.0
28,243.7
29,243.7
30,244.06
31,249.97
32,245.39
33,245.39
34,245.39
35,245.39
36,245.54
37,245.51
38,245.51
39,245.45
40,245.45
41,245.45
42,245.45
43,245.45
44,245.45
45,245.45
46,244.6
47,244.6
48,245.18
49,245.18
50,245.37
51,245.37
52,245.37
53,245.37
54,245.37
55,245.37
56,245.75
57,245.75
58,246.3
59,246.3
60,246.3
61,246.3
62,246.3
63,246.3
64,246.3
65,246.3
66,246.3
67,246.3
68,246.3
69,246.3
70,246.3
71,246.3
72,246.3
73,246.3
74,246.3
75,246.5
76,248.24
77,248.24
78,248.24
79,248.24
80,247.77
81,248.24
82,249.5
83,249.0
84,249.0
85,249.0
86,248.98
87,248.71
88,248.71
89,248.71
90,248.71
91,248.71
92,248.71
93,248.71
94,247.72
95,247.72
96,247.62
97,247.62
98,247.62
99,247.91
100,247.62
101,247.62
102,247.6
103,247.6
104,247.6
105,247.6
106,247.6
107,247.24
108,247.1
109,245.75
110,245.75
111,245.75
112,245.75
113,246.4
114,248.0
115,248.3
116,248.3
117,248.3
118,252.87
119,251.45
120,251.45
121,251.35
122,250.8
123,250.28
124,250.0
125,249.92
126,250.35
127,250.35
128,250.35
129,250.0
130,250.42
131,251.08
132,251.0
133,251.0
134,251.0
135,250.7
136,250.89
137,250.89
138,251.0
139,251.15
140,251.15
141,251.15
142,251.15
143,251.15
144,251.53
145,251.53
146,253.0
147,253.63
148,254.55
149,254.32
150,253.92
151,254.19
152,254.07
153,254.19
154,253.0
155,253.0
156,253.0
157,255.0
158,254.59
159,254.59
160,255.9
161,255.9
162,255.9
163,253.64
164,255.47
165,255.47
166,255.47
167,255.47
168,255.47
169,255.45
170,255.31
171,255.0
172,255.4
173,256.25
174,258.86
175,256.33
176,255.2
177,255.2
178,255.31
179,255.31
180,255.13
181,256.63
182,257.19
183,258.98
184,258.98
185,258.98
186,256.21
187,256.21
188,260.0
189,259.2
190,259.2
191,261.5
192,263.0
193,263.0
194,265.42
